brand_name,serise_name,score,level,struct,EngineORbattery,SpeedchunkORcharge,type,price,status,url
凯迪拉克,凯迪拉克CT6 PLUG-IN,暂无,中大型车,80公里,2.0T ,"快充5小时,慢充14小时",新能源,55.88-65.88万,停售,https://car.autohome.com.cn/price/series-4334-0-3.html#pvareaid=2042206
凯迪拉克,凯迪拉克CTS,暂无,中大型车,三厢 ,2.8L 3.6L ,自动 手自一体 ,燃油汽车,35.80-51.80万,停售,https://car.autohome.com.cn/price/series-970-0-3.html#pvareaid=2042206
凯迪拉克,凯迪拉克XTS,暂无,中大型车,三厢 ,2.0T 3.6L ,手自一体 ,燃油汽车,29.99-56.99万,停售,https://car.autohome.com.cn/price/series-2949-0-3.html#pvareaid=2042206
凯迪拉克,凯雷德ESCALADE,暂无,大型SUV,SUV ,6.0L 6.2L ,无级 手自一体 ,燃油汽车,108.00-168.80万,停售,https://car.autohome.com.cn/price/series-462-0-3.html#pvareaid=2042206
凯迪拉克,凯迪拉克ATS(进口),暂无,中型车,三厢 ,2.0T ,手自一体 ,燃油汽车,30.80-43.80万,停售,https://car.autohome.com.cn/price/series-2629-0-3.html#pvareaid=2042206
凯迪拉克,凯迪拉克CTS(进口),暂无,中大型车,三厢 硬顶跑车 ,2.0T 2.8L 3.0L ...,手自一体 ,燃油汽车,36.80-128.80万,停售,https://car.autohome.com.cn/price/series-311-0-3.html#pvareaid=2042206
凯迪拉克,凯迪拉克SRX,暂无,中型SUV,SUV ,3.0L 3.6L 4.6L ,手自一体 ,燃油汽车,39.98-89.00万,停售,https://car.autohome.com.cn/price/series-49-0-3.html#pvareaid=2042206
凯迪拉克,LYRIQ,暂无,中大型SUV,650公里,347马力,"快充0.67小时,慢充15.5小时",新能源,43.97万,即将销售,https://car.autohome.com.cn/price/series-6404.html#pvareaid=2042206
凯翼,凯翼X3,4.53,小型SUV,SUV ,1.6L ,无级 手动 ,燃油汽车,5.89-9.69万,停售,https://car.autohome.com.cn/price/series-3983-0-3.html#pvareaid=2042206
凯翼,炫界,4.54,紧凑型SUV,SUV ,1.5L ,无级 手动 ,燃油汽车,6.39-8.49万,停售,https://car.autohome.com.cn/price/series-5540-0-3.html#pvareaid=2042206
凯翼,凯翼C3,暂无,小型车,三厢 ,1.5L ,手动 自动 AMT ,燃油汽车,4.58-6.08万,停售,https://car.autohome.com.cn/price/series-3586-0-3.html#pvareaid=2042206
凯翼,凯翼C3R,暂无,小型车,两厢 ,1.5L ,自动 手动 AMT ,燃油汽车,4.58-6.08万,停售,https://car.autohome.com.cn/price/series-3581-0-3.html#pvareaid=2042206
凯翼,凯翼E3,暂无,小型车,三厢 ,1.5L 1.6L ,手动 自动 ,燃油汽车,5.29-8.06万,停售,https://car.autohome.com.cn/price/series-4474-0-3.html#pvareaid=2042206
凯翼,凯翼V3,暂无,紧凑型SUV,SUV ,1.5L ,自动 手动 ,燃油汽车,6.28-7.88万,停售,https://car.autohome.com.cn/price/series-3971-0-3.html#pvareaid=2042206
凯翼,凯翼X5,暂无,紧凑型SUV,SUV ,1.5T 2.0L ,无级 手动 ,燃油汽车,7.89-10.49万,停售,https://car.autohome.com.cn/price/series-4095-0-3.html#pvareaid=2042206
凯翼,凯翼E5 EV,暂无,紧凑型车,401公里,163马力,"快充0.5小时,慢充9小时",新能源,13.68-14.58万,在售,https://car.autohome.com.cn/price/series-5883.html#pvareaid=2042206
凯翼,轩度,4.60,紧凑型车,三厢 ,1.5T ,手动 无级 ,燃油汽车,6.78-9.39万,在售,https://car.autohome.com.cn/price/series-6116.html#pvareaid=2042206
凯翼,炫界Pro,4.53,紧凑型SUV,SUV ,1.5L 1.5T ,无级 手动 ,燃油汽车,7.59-9.39万,在售,https://car.autohome.com.cn/price/series-6396.html#pvareaid=2042206
凯翼,炫界Pro EV,暂无,紧凑型SUV,401公里,无,"快充0.5小时,慢充8小时",新能源,13.19-15.19万,在售,https://car.autohome.com.cn/price/series-6413.html#pvareaid=2042206
科尼赛克,Agera,暂无,跑车,硬顶敞篷车 ,5.0T ,湿式双离合 ,燃油汽车,2650.00万,停售,https://car.autohome.com.cn/price/series-2068-0-3.html#pvareaid=2042206
科尼赛克,科尼赛克CCX,暂无,跑车,硬顶跑车 ,4.7L ,手动 ,燃油汽车,2300.00万,停售,https://car.autohome.com.cn/price/series-731-0-3.html#pvareaid=2042206
科尼赛克,科尼赛克CCXR,暂无,跑车,硬顶跑车 ,4.7T 4.8T ,手动 ,燃油汽车,2600-4700万,停售,https://car.autohome.com.cn/price/series-732-0-3.html#pvareaid=2042206
科尼赛克,Gemera,暂无,跑车,50公里,2.0T ,无,新能源,暂无报价,在售,https://car.autohome.com.cn/price/series-5684.html#pvareaid=2042206
科尼赛克,Jesko,暂无,跑车,硬顶敞篷车 ,5.0T ,多离合式 ,燃油汽车,暂无报价,在售,https://car.autohome.com.cn/price/series-5167.html#pvareaid=2042206
克蒂汽车,克蒂圣姆峰,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,84.80-168.00万,在售,https://car.autohome.com.cn/price/series-6469.html#pvareaid=2042206
克蒂汽车,克蒂雪堆白,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,168.00万,在售,https://car.autohome.com.cn/price/series-6587.html#pvareaid=2042206
克蒂汽车,克蒂巴赫,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,138.00万,在售,https://car.autohome.com.cn/price/series-6586.html#pvareaid=2042206
克莱斯勒,铂锐,暂无,中型车,三厢 ,2.0L 2.4L 2.7L ,手自一体 ,燃油汽车,18.20-22.70万,停售,https://car.autohome.com.cn/price/series-566-0-3.html#pvareaid=2042206
克莱斯勒,克莱斯勒300C,暂无,中大型车,三厢 ,2.7L 3.5L 5.7L ,自动 手自一体 ,燃油汽车,30.00-50.90万,停售,https://car.autohome.com.cn/price/series-487-0-3.html#pvareaid=2042206
克莱斯勒,大捷龙,暂无,中大型MPV,MPV ,3.0L 3.3L ,自动 ,燃油汽车,24.90-35.90万,停售,https://car.autohome.com.cn/price/series-227-0-3.html#pvareaid=2042206
克莱斯勒,大捷龙(进口),暂无,中大型MPV,MPV ,3.6L ,手自一体 ,燃油汽车,44.68-49.69万,停售,https://car.autohome.com.cn/price/series-2207-0-3.html#pvareaid=2042206
克莱斯勒,大捷龙PHEV(进口),暂无,中大型MPV,68-71公里,3.6L ,无,新能源,49.69万,停售,https://car.autohome.com.cn/price/series-4604-0-3.html#pvareaid=2042206
克莱斯勒,PT 漫步者,暂无,紧凑型车,两厢 ,2.4L ,手动 自动 ,燃油汽车,23.99-39.50万,停售,https://car.autohome.com.cn/price/series-380-0-3.html#pvareaid=2042206
克莱斯勒,克莱斯勒300C(进口),暂无,中大型车,三厢 ,2.7L 3.0L 3.5L ...,自动 手自一体 ,燃油汽车,39.99-54.80万,停售,https://car.autohome.com.cn/price/series-342-0-3.html#pvareaid=2042206
克莱斯勒,交叉火力,暂无,跑车,硬顶跑车 ,3.2L ,自动 ,燃油汽车,61.00万,停售,https://car.autohome.com.cn/price/series-222-0-3.html#pvareaid=2042206
克慕勒,克慕勒GT系列,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,41.99-45.99万,在售,https://car.autohome.com.cn/price/series-6520.html#pvareaid=2042206
克慕勒,克慕勒M系列,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,46.99万,在售,https://car.autohome.com.cn/price/series-6519.html#pvareaid=2042206
LEVC,LEVC TX,暂无,中型MPV,105公里,1.5T ,无,新能源,33.98-35.98万,在售,https://car.autohome.com.cn/price/series-5939.html#pvareaid=2042206
LEVC,LEVC LX,暂无,中型MPV,无,1.5T ,无,新能源,暂无报价,即将销售,https://car.autohome.com.cn/price/series-5916.html#pvareaid=2042206
LIMGENE凌际,凌际星云系列,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,118.00-138.00万,在售,https://car.autohome.com.cn/price/series-6638.html#pvareaid=2042206
LITE,LITE,暂无,微型车,150公里,49马力,"快充0.5小时,慢充6.5小时",新能源,9.88-16.08万,停售,https://car.autohome.com.cn/price/series-4522-0-3.html#pvareaid=2042206
LOCAL MOTORS,RALLY FIGHTER,暂无,中大型SUV,SUV ,6.2L ,自动 ,燃油汽车,158.00万,停售,https://car.autohome.com.cn/price/series-3864-0-3.html#pvareaid=2042206
Lorinser,Lorinser S级,暂无,大型车,三厢 ,3.0L 3.5L 5.5L ...,手自一体 ,燃油汽车,130.80-295.00万,停售,https://car.autohome.com.cn/price/series-2102-0-3.html#pvareaid=2042206
Lorinser,Lorinser M级,暂无,中大型SUV,SUV ,3.5L 5.5L ,手自一体 ,燃油汽车,122.80-174.80万,停售,https://car.autohome.com.cn/price/series-2103-0-3.html#pvareaid=2042206
Lorinser,Lorinser MAYBACH S级,暂无,大型车,三厢 ,3.0T ,手自一体 ,燃油汽车,188.80-218.80万,停售,https://car.autohome.com.cn/price/series-4916-0-3.html#pvareaid=2042206
Lorinser,Lorinser MS500L,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,108.80万,停售,https://car.autohome.com.cn/price/series-4865-0-3.html#pvareaid=2042206
Lorinser,Lorinser VS系列,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,118.80-198.80万,停售,https://car.autohome.com.cn/price/series-4464-0-3.html#pvareaid=2042206
Lorinser,Lorinser GS500,暂无,大型SUV,SUV ,3.0T ,手自一体 ,燃油汽车,159.80万,停售,https://car.autohome.com.cn/price/series-4600-0-3.html#pvareaid=2042206
Lorinser,Metris MS500,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,88.80万,停售,https://car.autohome.com.cn/price/series-4379-0-3.html#pvareaid=2042206
Lorinser,Sprinter LS500,暂无,大型MPV,MPV ,3.5L ,自动 ,燃油汽车,160.00万,停售,https://car.autohome.com.cn/price/series-4378-0-3.html#pvareaid=2042206
Lorinser,Lorinser LX,暂无,中型MPV,无,1.5T ,无,新能源,49.90-69.90万,在售,https://car.autohome.com.cn/price/series-6096.html#pvareaid=2042206
Lorinser,Lorinser LS560MX,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,138.80-158.80万,在售,https://car.autohome.com.cn/price/series-5831.html#pvareaid=2042206
LUMMA,LUMMA CLR LD,暂无,中大型SUV,无,无,无,燃油汽车,168.00万,停售,https://car.autohome.com.cn/price/series-6166-0-3.html#pvareaid=2042206
